key,filter,reason,status,width_cm,x,z,between,and
000E10.2 | 0x1e950c.5,anvil and hammer,"generic 0x1e950c (preset 0x272e) is 6.7 cm from a straight wall, closer than Bond's radius, with 5.1 m of it to one side and 3.5 m of it to the other",no warp found,6.702,-80,-3612,wall of tile 000E10 (room 0x09),generic 0x1e950c (preset 0x272e)
000E10.2 | 0x1e960c.0,anvil and hammer,"generic 0x1e960c (preset 0x2730) is 6.7 cm from a straight wall, closer than Bond's radius, with 5.1 m of it to one side and 2.7 m of it ending at a protrusion to the other",no warp found,6.702,-120,-3612,wall of tile 000E10 (room 0x09),generic 0x1e960c (preset 0x2730)
000E10.2 | 0x1e960c.5,anvil and hammer,"generic 0x1e960c (preset 0x2730) is 6.7 cm from a straight wall, closer than Bond's radius, with 5.9 m of it to one side and 2.7 m of it ending at a protrusion to the other",no warp found,6.702,-159,-3612,wall of tile 000E10 (room 0x09),generic 0x1e960c (preset 0x2730)
05B910.1 | 0x1e8d8c.0,anvil and hammer,"generic 0x1e8d8c (preset 0x2722) is 6.7 cm from a straight wall, closer than Bond's radius, with 1.3 m of it ending at a protrusion to one side and 6.6 m of it to the other",no warp found,6.702,266,-3612,wall of tile 05B910 (room 0x09),generic 0x1e8d8c (preset 0x2722)
05B910.1 | 0x1e8d8c.1,anvil and hammer,"generic 0x1e8d8c (preset 0x2722) is 6.7 cm from a straight wall, closer than Bond's radius, with 1.3 m of it ending at a protrusion to one side and 7.4 m of it to the other",no warp found,6.702,304,-3612,wall of tile 05B910 (room 0x09),generic 0x1e8d8c (preset 0x2722)
05B910.1 | 0x1e8d8c.5,anvil and hammer,"generic 0x1e8d8c (preset 0x2722) is 6.7 cm from a straight wall, closer than Bond's radius, with 2.0 m of it ending at a protrusion to one side and 6.6 m of it to the other",no warp found,6.702,228,-3612,wall of tile 05B910 (room 0x09),generic 0x1e8d8c (preset 0x2722)
05B910.1 | 0x1e8e0c.0,anvil and hammer,"generic 0x1e8e0c (preset 0x2723) is 6.7 cm from a straight wall, closer than Bond's radius, with 2.0 m of it ending at a protrusion to one side and 5.8 m of it to the other",no warp found,6.702,189,-3612,wall of tile 05B910 (room 0x09),generic 0x1e8e0c (preset 0x2723)
05B910.1 | 0x1e8e0c.5,anvil and hammer,"generic 0x1e8e0c (preset 0x2723) is 6.7 cm from a straight wall, closer than Bond's radius, with 2.8 m of it ending at a protrusion to one side and 5.8 m of it to the other",no warp found,6.702,150,-3612,wall of tile 05B910 (room 0x09),generic 0x1e8e0c (preset 0x2723)
05B910.1 | 0x1e8f0c.0,anvil and hammer,"monitor 0x1e8f0c (preset 0x2725) is 6.7 cm from a straight wall, closer than Bond's radius, with 2.8 m of it ending at a protrusion to one side and 5.0 m of it to the other",no warp found,6.702,112,-3612,wall of tile 05B910 (room 0x09),monitor 0x1e8f0c (preset 0x2725)
05B910.1 | 0x1e8f0c.5,anvil and hammer,"monitor 0x1e8f0c (preset 0x2725) is 6.7 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 5.0 m of it to the other",no warp found,6.702,74,-3612,wall of tile 05B910 (room 0x09),monitor 0x1e8f0c (preset 0x2725)
05B910.1 | 0x1e940c.0,anvil and hammer,"monitor 0x1e940c (preset 0x272d) is 6.7 cm from a straight wall, closer than Bond's radius, with 3.6 m of it to one side and 4.3 m of it to the other",no warp found,6.702,37,-3612,wall of tile 05B910 (room 0x09),monitor 0x1e940c (preset 0x272d)
05B710.2 | 0x1e930c.3,anvil and hammer,"generic 0x1e930c (preset 0x272b) is 8.9 cm from a straight wall, closer than Bond's radius, with 2.5 m of it, so little that a step round its end would be at least 6.9 m long to one side and 3.6 m of it to the other",no warp found,8.937,-2,-2920,wall of tile 05B710 (room 0x09),generic 0x1e930c (preset 0x272b)
05B710.2 | 0x1e938c.3,anvil and hammer,"generic 0x1e938c (preset 0x272c) is 8.9 cm from a straight wall, closer than Bond's radius, with 1.8 m of it, so little that a step round its end would be at least 6.9 m long to one side and 4.4 m of it to the other",no warp found,8.937,-42,-2920,wall of tile 05B710 (room 0x09),generic 0x1e938c (preset 0x272c)
05B710.2 | 0x1e938c.4,anvil and hammer,"generic 0x1e938c (preset 0x272c) is 8.9 cm from a straight wall, closer than Bond's radius, with 1.8 m of it, so little that a step round its end would be at least 6.9 m long to one side and 5.1 m of it to the other",no warp found,8.937,-80,-2920,wall of tile 05B710 (room 0x09),generic 0x1e938c (preset 0x272c)
05B710.2 | 0x1e958c.3,anvil and hammer,"generic 0x1e958c (preset 0x272f) is 8.9 cm from a straight wall, closer than Bond's radius, with 1.0 m of it, so little that a step round its end would be at least 6.0 m long to one side and 5.1 m of it to the other",no warp found,8.937,-120,-2920,wall of tile 05B710 (room 0x09),generic 0x1e958c (preset 0x272f)
05B710.2 | 0x1e958c.4,anvil and hammer,"generic 0x1e958c (preset 0x272f) is 8.9 cm from a straight wall, closer than Bond's radius, with 1.0 m of it, so little that a step round its end would be at least 6.0 m long to one side and 5.9 m of it to the other",no warp found,8.937,-159,-2920,wall of tile 05B710 (room 0x09),generic 0x1e958c (preset 0x272f)
05B510.0 | 0x1e8c0c.2,anvil and hammer,"generic 0x1e8c0c (preset 0x2720) is 8.9 cm from a straight wall, closer than Bond's radius, with 5.6 m of it to one side and 1.3 m of it ending at a protrusion to the other",no warp found,8.937,304,-2920,wall of tile 05B510 (room 0x09),generic 0x1e8c0c (preset 0x2720)
05B510.0 | 0x1e8c0c.3,anvil and hammer,"generic 0x1e8c0c (preset 0x2720) is 8.9 cm from a straight wall, closer than Bond's radius, with 4.9 m of it to one side and 1.3 m of it ending at a protrusion to the other",no warp found,8.937,266,-2920,wall of tile 05B510 (room 0x09),generic 0x1e8c0c (preset 0x2720)
05B510.0 | 0x1e8c0c.4,anvil and hammer,"generic 0x1e8c0c (preset 0x2720) is 8.9 cm from a straight wall, closer than Bond's radius, with 4.9 m of it to one side and 2.0 m of it ending at a protrusion to the other",no warp found,8.937,228,-2920,wall of tile 05B510 (room 0x09),generic 0x1e8c0c (preset 0x2720)
05B510.0 | 0x1e8c8c.3,anvil and hammer,"monitor 0x1e8c8c (preset 0x2721) is 8.9 cm from a straight wall, closer than Bond's radius, with 4.1 m of it to one side and 2.0 m of it ending at a protrusion to the other",no warp found,8.937,189,-2920,wall of tile 05B510 (room 0x09),monitor 0x1e8c8c (preset 0x2721)
05B510.0 | 0x1e8c8c.4,anvil and hammer,"monitor 0x1e8c8c (preset 0x2721) is 8.9 cm from a straight wall, closer than Bond's radius, with 4.1 m of it to one side and 2.8 m of it ending at a protrusion to the other",no warp found,8.937,150,-2920,wall of tile 05B510 (room 0x09),monitor 0x1e8c8c (preset 0x2721)
05B510.0 | 0x1e8e8c.3,anvil and hammer,"generic 0x1e8e8c (preset 0x2724) is 8.9 cm from a straight wall, closer than Bond's radius, with 3.3 m of it to one side and 2.8 m of it ending at a protrusion to the other",no warp found,8.937,112,-2920,wall of tile 05B510 (room 0x09),generic 0x1e8e8c (preset 0x2724)
05B510.0 | 0x1e8e8c.4,anvil and hammer,"generic 0x1e8e8c (preset 0x2724) is 8.9 cm from a straight wall, closer than Bond's radius, with 3.3 m of it to one side and 3.6 m of it to the other",no warp found,8.937,74,-2920,wall of tile 05B510 (room 0x09),generic 0x1e8e8c (preset 0x2724)
05B510.0 | 0x1e930c.3,anvil and hammer,"generic 0x1e930c (preset 0x272b) is 8.9 cm from a straight wall, closer than Bond's radius, with 2.5 m of it, so little that a step round its end would be at least 6.9 m long to one side and 3.6 m of it to the other",no warp found,8.937,37,-2920,wall of tile 05B510 (room 0x09),generic 0x1e930c (preset 0x272b)
000D29.1 | 000D2A.2,narrow pocket,"the floor to one side of it is a pocket only 33.5 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,33.514,511,-4826,wall of tile 000D2A (room 0x1b),wall of tile 000D29 (room 0x1b)
001829.0 | 00182A.1,narrow pocket,"the floor to one side of it is a pocket only 33.5 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,33.514,511,-4768,wall of tile 00182A (room 0x1b),wall of tile 001829 (room 0x1b)
000E28.0 | 001B28.2,narrow pocket,"the floor to one side of it is a pocket only 40.2 cm across, measured along the pinch line, so Bond fits nowhere in it",no warp found,40.217,-507,-4793,wall of tile 001B28 (room 0x1b),wall of tile 000E28 (room 0x1b)
